Date,Category,Region,Revenue,Units,Advertising Spend
2026-01-01,Electronics,North,,5,49.18
2026-01-01,Home,South,195.42,4,45.56
2026-01-02,Clothing,East,257.79,3,51.74
2026-01-02,Books,North,286.71,7,53.09
2026-01-03,Electronics,South,357.28,2,61.16
2026-01-03,Home,East,231.62,12,50.27
2026-01-04,Clothing,North,170.93,6,39.27
2026-01-04,Books,South,202.6,9,40.75
2026-01-05,Electronics,East,292.73,2,48.01
2026-01-05,Home,North,249.06,12,59.42
2026-01-06,Clothing,South,365.54,5,62.61
2026-01-06,Books,East,257.46,9,38.99
2026-01-07,Electronics,North,206.82,10,41.98
2026-01-07,Home,South,233.92,10,40.15
2026-01-08,Clothing,East,267.07,2,48.74
2026-01-08,Books,North,169.17,1,37.77
2026-01-09,Electronics,South,253.92,8,53.69
2026-01-09,Home,East,251.87,2,38.62
2026-01-10,Clothing,North,315.32,9,50.49
2026-01-10,Books,South,372.45,3,63.54
2026-01-11,Electronics,East,299.84,4,57.86
2026-01-11,Home,North,297.77,2,43.12
2026-01-12,Clothing,South,239.45,2,56.17
2026-01-12,Books,East,294.88,5,51.07
2026-01-13,Electronics,North,245.01,6,54.78
2026-01-13,Home,South,268.97,5,40.23
2026-01-14,Clothing,East,238.03,11,46.72
2026-01-14,Books,North,266.17,11,40.91
2026-01-15,Electronics,South,340.43,10,57.57
2026-01-15,Home,East,331.25,10,68.12
2026-01-16,Clothing,North,321.29,11,65.47
2026-01-16,Books,South,304.27,8,49.07
2026-01-17,Electronics,East,330.73,11,71.81
2026-01-17,Home,North,258.99,6,44.35
2026-01-18,Clothing,South,343.58,11,59.2
2026-01-18,Books,East,308.4,5,65.59
2026-01-19,Electronics,North,297.59,9,62.87
2026-01-19,Home,South,345.81,12,60.14
2026-01-20,Clothing,East,298.48,4,65.38
2026-01-20,Books,North,299.28,8,51.43
2026-01-21,Electronics,South,316.65,2,59.94
2026-01-21,Home,East,355.62,8,59.2
2026-01-22,Clothing,North,284.07,8,61.34
2026-01-22,Books,South,291.27,7,68.39
2026-01-23,Electronics,East,395.07,7,73.3
2026-01-23,Home,North,293.35,8,62.65
2026-01-24,Clothing,South,354.2,2,66.16
2026-01-24,Books,East,,7,71.64
2026-01-25,Electronics,North,411.27,4,71.83
2026-01-25,Home,South,301.39,12,54.63
2026-01-26,Clothing,East,343.4,2,61.9
2026-01-26,Books,North,375.07,1,74.29
2026-01-27,Electronics,South,341.17,11,53.97
2026-01-27,Home,East,363.54,12,74.44
2026-01-28,Clothing,North,364.98,6,68.7
2026-01-28,Books,South,346.68,4,68.67
2026-01-29,Electronics,East,325.93,4,76.19
2026-01-29,Home,North,283.89,2,60.93
2026-01-30,Clothing,South,426.95,9,74.94
2026-01-30,Books,East,374.24,9,61.83
2026-01-31,Electronics,North,254.29,8,59.53
2026-01-31,Home,South,267.62,9,56.96
2026-02-01,Clothing,East,384.65,10,84.5
2026-02-01,Books,North,325.84,3,62.4
2026-02-02,Electronics,South,268.97,5,57.74
2026-02-02,Home,East,336.28,10,57.79
2026-02-03,Clothing,North,354.9,2,71.41
2026-02-03,Books,South,310.13,11,74.41
2026-02-04,Electronics,East,388.83,2,70.28
2026-02-04,Home,North,404.05,8,82.01
2026-02-05,Clothing,South,303.94,9,71.86
2026-02-05,Books,East,407.49,1,84.83
2026-02-06,Electronics,North,473.83,8,88.57
2026-02-06,Home,South,342.19,7,66.51
2026-02-07,Clothing,East,380.82,5,84.22
2026-02-07,Books,North,407.22,4,71.32
2026-02-08,Electronics,South,377.56,11,71.98
2026-02-08,Home,East,364.28,3,88.11
2026-02-09,Clothing,North,459.28,9,86.75
2026-02-09,Books,South,465.69,7,91.52
2026-02-10,Electronics,East,338.18,3,70.8
2026-02-10,Home,North,332.1,5,66.69
2026-02-11,Clothing,South,415.62,7,92.43
2026-02-11,Books,East,450.88,5,80.44
2026-02-12,Electronics,North,453.78,5,85.96
2026-02-12,Home,South,449.81,11,82.85
2026-02-13,Clothing,East,304.54,9,69.67
2026-02-13,Books,North,399.45,2,87.2
2026-02-14,Electronics,South,409.56,1,76.17
2026-02-14,Home,East,409.98,10,85.85
2026-02-15,Clothing,North,293.44,1,69.5
2026-02-15,Books,South,414.95,3,78.97
2026-02-16,Electronics,East,493.93,2,95.32
2026-02-16,Home,North,435.32,10,87.08
2026-02-17,Clothing,South,,4,73.81
2026-02-17,Books,East,364.41,1,87.83
2026-02-18,Electronics,North,430.23,6,90.77
2026-02-18,Home,South,455.84,1,82.54
2026-02-19,Clothing,East,343.24,3,78.86
2026-02-19,Books,North,435.21,2,82.51
2026-02-20,Electronics,South,437.13,12,94.82
