Date,Channel,Spend,Conversions,Revenue
2026-01-01,Search,49.18,13,209.72
2026-01-01,Social,45.56,10,195.42
2026-01-02,Email,51.74,10,257.79
2026-01-02,Referral,53.09,14,286.71
2026-01-03,Search,61.16,13,357.28
2026-01-03,Social,50.27,15,231.62
2026-01-04,Email,39.27,9,170.93
2026-01-04,Referral,40.75,13,202.6
2026-01-05,Search,48.01,13,292.73
2026-01-05,Social,59.42,16,249.06
2026-01-06,Email,62.61,17,365.54
2026-01-06,Referral,38.99,11,257.46
2026-01-07,Search,41.98,13,206.82
2026-01-07,Social,40.15,12,233.92
2026-01-08,Email,48.74,13,267.07
2026-01-08,Referral,37.77,9,169.17
2026-01-09,Search,53.69,14,253.92
2026-01-09,Social,38.62,8,251.87
2026-01-10,Email,50.49,15,315.32
2026-01-10,Referral,63.54,18,372.45
2026-01-11,Search,57.86,11,299.84
2026-01-11,Social,43.12,12,297.77
2026-01-12,Email,56.17,13,239.45
2026-01-12,Referral,51.07,10,294.88
2026-01-13,Search,54.78,12,245.01
2026-01-13,Social,40.23,9,268.97
2026-01-14,Email,46.72,10,238.03
2026-01-14,Referral,40.91,11,266.17
2026-01-15,Search,57.57,13,340.43
2026-01-15,Social,68.12,18,331.25
2026-01-16,Email,65.47,14,321.29
2026-01-16,Referral,49.07,11,304.27
2026-01-17,Search,71.81,16,330.73
2026-01-17,Social,44.35,9,258.99
2026-01-18,Email,59.2,14,343.58
2026-01-18,Referral,65.59,16,308.4
2026-01-19,Search,62.87,15,297.59
2026-01-19,Social,60.14,16,345.81
2026-01-20,Email,65.38,16,298.48
2026-01-20,Referral,51.43,15,299.28
2026-01-21,Search,59.94,17,316.65
2026-01-21,Social,59.2,14,355.62
2026-01-22,Email,61.34,14,284.07
2026-01-22,Referral,68.39,14,291.27
2026-01-23,Search,73.3,19,395.07
2026-01-23,Social,62.65,16,293.35
2026-01-24,Email,66.16,14,354.2
2026-01-24,Referral,71.64,18,342.06
2026-01-25,Search,71.83,15,411.27
2026-01-25,Social,54.63,16,301.39
2026-01-26,Email,61.9,12,343.4
2026-01-26,Referral,74.29,15,375.07
2026-01-27,Search,53.97,13,341.17
2026-01-27,Social,74.44,19,363.54
2026-01-28,Email,68.7,16,364.98
2026-01-28,Referral,68.67,17,346.68
2026-01-29,Search,76.19,18,325.93
2026-01-29,Social,60.93,17,283.89
2026-01-30,Email,74.94,16,426.95
2026-01-30,Referral,61.83,12,374.24
2026-01-31,Search,59.53,12,254.29
2026-01-31,Social,56.96,16,267.62
2026-02-01,Email,84.5,22,384.65
2026-02-01,Referral,62.4,14,325.84
2026-02-02,Search,57.74,14,268.97
2026-02-02,Social,57.79,14,336.28
2026-02-03,Email,71.41,17,354.9
2026-02-03,Referral,74.41,17,310.13
2026-02-04,Search,70.28,18,388.83
2026-02-04,Social,82.01,22,404.05
2026-02-05,Email,71.86,18,303.94
2026-02-05,Referral,84.83,21,407.49
2026-02-06,Search,88.57,20,473.83
2026-02-06,Social,66.51,18,342.19
2026-02-07,Email,84.22,22,380.82
2026-02-07,Referral,71.32,15,407.22
2026-02-08,Search,71.98,15,377.56
2026-02-08,Social,88.11,18,364.28
2026-02-09,Email,86.75,22,459.28
2026-02-09,Referral,91.52,20,465.69
2026-02-10,Search,70.8,15,338.18
2026-02-10,Social,66.69,18,332.1
2026-02-11,Email,92.43,19,415.62
2026-02-11,Referral,80.44,17,450.88
2026-02-12,Search,85.96,18,453.78
2026-02-12,Social,82.85,20,449.81
2026-02-13,Email,69.67,19,304.54
2026-02-13,Referral,87.2,22,399.45
2026-02-14,Search,76.17,19,409.56
2026-02-14,Social,85.85,21,409.98
2026-02-15,Email,69.5,15,293.44
2026-02-15,Referral,78.97,19,414.95
2026-02-16,Search,95.32,19,493.93
2026-02-16,Social,87.08,18,435.32
2026-02-17,Email,73.81,16,331.15
2026-02-17,Referral,87.83,17,364.41
2026-02-18,Search,90.77,19,430.23
2026-02-18,Social,82.54,20,455.84
2026-02-19,Email,78.86,20,343.24
2026-02-19,Referral,82.51,20,435.21
2026-02-20,Search,94.82,21,437.13
2026-02-20,Social,83.36,20,432.79
2026-02-21,Email,96.84,20,483.89
2026-02-21,Referral,82.23,22,430.43
2026-02-22,Search,99.47,25,507.42
2026-02-22,Social,76.26,17,391.02
2026-02-23,Email,90.29,19,477.16
2026-02-23,Referral,79.27,19,388.56
2026-02-24,Search,73.43,16,339.89
2026-02-24,Social,88.61,20,464.44
2026-02-25,Email,86.13,18,431.34
2026-02-25,Referral,87.5,22,372.7
2026-02-26,Search,90.11,22,384.12
2026-02-26,Social,79.79,18,420.26
2026-02-27,Email,94.89,21,507.94
2026-02-27,Referral,77.69,20,381.64
2026-02-28,Search,94.22,21,433.02
2026-02-28,Social,90.32,18,468.6
2026-03-01,Email,81.96,21,382.58
2026-03-01,Referral,86.12,19,441.33
2026-03-02,Search,81.87,21,422.54
2026-03-02,Social,81.2,21,415.25
2026-03-03,Email,81.11,16,435.77
2026-03-03,Referral,84.63,17,431.66
2026-03-04,Search,88.15,23,452.42
2026-03-04,Social,103.34,25,483.71
2026-03-05,Email,101.74,23,478.87
2026-03-05,Referral,105.3,22,537.36
2026-03-06,Search,106.38,25,513.52
2026-03-06,Social,89.28,18,467.32
2026-03-07,Email,101.17,20,489.42
2026-03-07,Referral,82.45,19,382.14
2026-03-08,Search,99.42,21,454.53
2026-03-08,Social,86.31,22,425.07
2026-03-09,Email,89.07,19,382.46
2026-03-09,Referral,113.67,24,529.84
2026-03-10,Search,108.38,23,495.95
2026-03-10,Social,108.83,25,532.57
2026-03-11,Email,98.58,24,490.44
2026-03-11,Referral,87.85,23,437.9
2026-03-12,Search,88.02,21,455.5
2026-03-12,Social,90.53,18,416.15
2026-03-13,Email,94.65,20,419.83
2026-03-13,Referral,117.12,26,575.74
2026-03-14,Search,92.82,19,424.66
2026-03-14,Social,91.89,21,483.67
2026-03-15,Email,107.67,25,494.68
2026-03-15,Referral,113.74,24,527.13
2026-03-16,Search,117.89,27,514.49
2026-03-16,Social,99.73,25,519.79
2026-03-17,Email,102.5,23,496.68
2026-03-17,Referral,95.14,24,440.43
2026-03-18,Search,94.72,20,433.34
2026-03-18,Social,103.74,21,540.48
2026-03-19,Email,106.52,24,446.89
2026-03-19,Referral,100.57,24,413.26
2026-03-20,Search,103.28,25,457.75
2026-03-20,Social,116.65,25,517.29
2026-03-21,Email,108.78,22,462.99
2026-03-21,Referral,118.45,25,547.68
2026-03-22,Search,94.8,23,446.15
2026-03-22,Social,98.83,19,487.01
2026-03-23,Email,109.85,26,522.78
2026-03-23,Referral,110.96,24,491.49
2026-03-24,Search,113.9,27,488.67
2026-03-24,Social,124.01,27,601.49
2026-03-25,Email,97.66,24,515.28
2026-03-25,Referral,117.69,27,497.23
2026-03-26,Search,107.11,27,495.13
2026-03-26,Social,120.28,27,525.59
2026-03-27,Email,125.4,29,532.61
2026-03-27,Referral,98.68,25,472.88
2026-03-28,Search,112.84,26,484.5
2026-03-28,Social,104.46,23,530.58
2026-03-29,Email,99.8,23,455.23
2026-03-29,Referral,101.86,24,431.63
2026-03-30,Search,114.75,27,523.6
2026-03-30,Social,116.57,28,539.66
2026-03-31,Email,126.83,30,570.34
2026-03-31,Referral,118.52,25,551.14
2026-04-01,Search,112.34,22,467.01
2026-04-01,Social,113.63,23,571.48
2026-04-02,Email,108.15,26,507.07
2026-04-02,Referral,114.58,23,495.88
2026-04-03,Search,110.82,23,461.35
2026-04-03,Social,108.2,25,562.02
2026-04-04,Email,133.97,30,608.43
2026-04-04,Referral,128.37,30,561.73
2026-04-05,Search,129.37,26,637.25
2026-04-05,Social,108.37,26,530.43
2026-04-06,Email,112.27,28,567.92
2026-04-06,Referral,127.27,27,603.53
2026-04-07,Search,133.28,28,599.04
2026-04-07,Social,123.8,26,575.28
2026-04-08,Email,115.32,27,569.87
2026-04-08,Referral,135.51,32,617.1
2026-04-09,Search,115.34,26,556.22
2026-04-09,Social,125.35,25,512.82
2026-04-10,Email,112.41,27,471.2
2026-04-10,Referral,126.55,29,635.03
2026-04-11,Search,124.28,28,583.53
2026-04-11,Social,117.29,29,587.31
2026-04-12,Email,116.18,28,576.77
2026-04-12,Referral,131.51,29,600.91
2026-04-13,Search,121.82,28,589.56
2026-04-13,Social,132.39,30,618.84
2026-04-14,Email,117.03,26,524.87
2026-04-14,Referral,126.27,25,581.65
2026-04-15,Search,124.83,25,519.48
2026-04-15,Social,118.62,29,517.6
2026-04-16,Email,117.21,26,515.4
2026-04-16,Referral,132.5,28,623.44
2026-04-17,Search,124.58,28,541.96
2026-04-17,Social,143.49,32,609.12
2026-04-18,Email,137.06,30,652.93
2026-04-18,Referral,137.05,31,655.68
2026-04-19,Search,145.4,32,631.39
2026-04-19,Social,130.69,29,614.31
2026-04-20,Email,127.65,28,561.77
2026-04-20,Referral,118.28,26,524.29
2026-04-21,Search,124.96,25,558.45
2026-04-21,Social,124.57,26,598.56
2026-04-22,Email,134.63,29,625.21
2026-04-22,Referral,146.76,30,667.86
2026-04-23,Search,123.74,28,551.01
2026-04-23,Social,145.97,32,708.1
2026-04-24,Email,135.06,28,560.16
2026-04-24,Referral,137.29,30,572.75
2026-04-25,Search,150.89,32,625.85
2026-04-25,Social,127.9,26,610.11
2026-04-26,Email,132.52,28,573.81
2026-04-26,Referral,126.47,29,605.89
2026-04-27,Search,145.64,31,673.71
2026-04-27,Social,144.04,34,691.44
2026-04-28,Email,149.1,32,701.88
2026-04-28,Referral,149.57,30,702.88
2026-04-29,Search,130.47,26,614.51
2026-04-29,Social,136.69,31,593.42
2026-04-30,Email,140.78,32,626.53
2026-04-30,Referral,128.7,29,568.91
