Student ID,Subject,Study Hours,Score,Attendance
S0001,Math,3.2,50.2,71
S0002,Science,7.4,80.2,91
S0003,English,2.9,58.7,71
S0004,Math,1.7,45.2,88
S0005,Science,4.4,61.3,88
S0006,English,3.2,55.4,82
S0007,Math,4.6,56.1,85
S0008,Science,5.9,73.5,92
S0009,English,2.4,46.6,92
S0010,Math,2.0,56.2,82
S0011,Science,9.7,92.7,97
S0012,English,9.6,94.8,65
S0013,Math,9.5,80.9,96
S0014,Science,4.8,59.4,99
S0015,English,3.2,49.0,66
S0016,Math,8.7,76.6,80
S0017,Science,8.3,76.5,71
S0018,English,3.2,51.0,93
S0019,Math,1.9,51.9,99
S0020,Science,4.4,69.8,81
S0021,English,3.7,66.0,99
S0022,Math,8.7,76.6,69
S0023,Science,4.8,65.3,98
S0024,English,5.1,72.4,69
S0025,Math,8.9,90.6,88
S0026,Science,9.4,80.7,73
S0027,English,6.7,69.7,96
S0028,Math,9.8,83.6,93
S0029,Science,6.0,68.9,67
S0030,English,7.7,85.3,80
S0031,Math,8.8,89.0,82
S0032,Science,4.1,65.6,79
S0033,English,5.6,70.9,99
S0034,Math,7.6,75.0,97
S0035,Science,7.5,81.4,77
S0036,English,7.0,72.2,83
S0037,Math,8.5,79.4,78
S0038,Science,2.5,45.9,97
S0039,English,2.3,44.2,95
S0040,Math,4.6,57.4,65
S0041,Science,5.1,70.3,98
S0042,English,9.1,89.4,95
S0043,Math,1.7,45.1,82
S0044,Science,4.0,59.5,68
S0045,English,5.3,73.6,84
S0046,Math,1.3,43.9,90
S0047,Science,6.8,68.2,94
S0048,English,3.3,49.8,66
S0049,Math,8.6,84.9,80
S0050,Science,7.5,81.9,75
S0051,English,6.3,76.8,80
S0052,Math,4.1,59.4,88
S0053,Science,9.0,84.4,74
S0054,English,6.3,68.7,80
S0055,Math,1.3,52.1,76
S0056,Science,1.8,52.5,96
S0057,English,4.6,58.9,88
S0058,Math,7.5,74.5,99
S0059,Science,6.4,79.7,77
S0060,English,3.6,65.1,96
S0061,Math,2.0,43.0,96
S0062,Science,7.9,81.2,79
S0063,English,1.5,54.9,71
S0064,Math,1.0,44.2,95
S0065,Science,8.1,82.5,77
S0066,English,7.7,79.6,83
S0067,Math,6.4,78.2,85
S0068,Science,8.4,83.2,76
S0069,English,5.2,64.5,85
S0070,Math,1.8,45.0,72
S0071,Science,4.3,65.6,93
S0072,English,9.8,90.7,80
S0073,Math,9.5,89.9,74
S0074,Science,2.7,55.1,73
S0075,English,8.5,83.8,96
S0076,Math,9.8,84.8,89
S0077,Science,9.8,88.9,67
S0078,English,4.7,66.0,74
S0079,Math,4.4,59.1,96
S0080,Science,9.8,93.2,71
S0081,English,3.2,54.6,76
S0082,Math,5.1,68.2,94
S0083,Science,7.2,75.3,84
S0084,English,1.2,51.3,90
S0085,Math,8.0,75.7,87
S0086,Science,1.4,51.6,67
S0087,English,8.9,82.4,97
S0088,Math,5.2,59.2,79
S0089,Science,3.4,51.0,88
S0090,English,9.0,86.0,79
S0091,Math,3.7,58.4,71
S0092,Science,9.0,87.5,96
S0093,English,9.8,86.9,87
S0094,Math,9.7,81.3,86
S0095,Science,4.0,54.4,65
S0096,English,4.2,65.6,85
S0097,Math,5.6,61.7,97
S0098,Science,10.0,95.6,92
S0099,English,3.5,59.6,100
S0100,Math,8.7,85.9,100
S0101,Science,1.9,48.3,81
S0102,English,8.3,82.4,100
S0103,Math,6.4,69.6,97
S0104,Science,3.0,53.9,100
S0105,English,1.3,42.9,84
S0106,Math,1.8,49.5,89
S0107,Science,2.4,53.9,70
S0108,English,4.9,61.0,96
S0109,Math,7.9,83.7,83
S0110,Science,1.6,53.8,67
S0111,English,2.0,42.3,85
S0112,Math,6.3,71.9,90
S0113,Science,2.7,57.9,87
S0114,English,2.6,57.4,96
S0115,Math,8.8,86.0,74
S0116,Science,5.2,58.6,88
S0117,English,6.0,74.7,67
