Date,City,Temperature,Rainfall,Humidity
2026-01-01,Manila,27.1,1.4,69
2026-01-01,Cebu,27.2,0,65
2026-01-02,Manila,29.1,0,57
2026-01-02,Cebu,28.1,0,73
2026-01-03,Manila,29.7,10.3,59
2026-01-03,Cebu,29.8,0,58
2026-01-04,Manila,29.8,0,64
2026-01-04,Cebu,31.0,0,87
2026-01-05,Manila,29.6,3.8,90
2026-01-05,Cebu,28.8,0,55
2026-01-06,Manila,30.0,0,67
2026-01-06,Cebu,29.7,0,74
2026-01-07,Manila,29.1,7.1,90
2026-01-07,Cebu,30.0,0,78
2026-01-08,Manila,29.1,0,95
2026-01-08,Cebu,31.2,0,91
2026-01-09,Manila,31.7,0.8,61
2026-01-09,Cebu,31.9,0,59
2026-01-10,Manila,30.8,0,68
2026-01-10,Cebu,32.3,0,90
2026-01-11,Manila,31.0,13.8,88
2026-01-11,Cebu,32.3,0,70
2026-01-12,Manila,30.6,0,71
2026-01-12,Cebu,30.0,0,68
2026-01-13,Manila,31.6,14.8,88
2026-01-13,Cebu,30.7,0,93
2026-01-14,Manila,32.4,0,57
2026-01-14,Cebu,30.2,0,64
2026-01-15,Manila,30.7,1.5,90
2026-01-15,Cebu,32.2,0,76
2026-01-16,Manila,30.1,0,85
2026-01-16,Cebu,30.8,0,59
2026-01-17,Manila,30.8,8.7,71
2026-01-17,Cebu,32.1,0,55
2026-01-18,Manila,31.8,0,62
2026-01-18,Cebu,31.1,0,66
2026-01-19,Manila,31.3,6.6,68
2026-01-19,Cebu,32.7,0,70
2026-01-20,Manila,32.5,0,91
2026-01-20,Cebu,30.4,0,88
2026-01-21,Manila,32.4,9.2,87
2026-01-21,Cebu,30.5,0,88
2026-01-22,Manila,30.3,0,64
2026-01-22,Cebu,31.3,0,56
2026-01-23,Manila,31.1,9.0,69
2026-01-23,Cebu,30.9,0,80
2026-01-24,Manila,30.6,0,76
2026-01-24,Cebu,29.3,0,57
2026-01-25,Manila,29.7,10.5,78
2026-01-25,Cebu,29.8,0,79
2026-01-26,Manila,30.6,0,62
2026-01-26,Cebu,29.9,0,86
2026-01-27,Manila,29.4,12.1,89
2026-01-27,Cebu,29.1,0,84
2026-01-28,Manila,30.9,0,72
2026-01-28,Cebu,30.3,0,83
2026-01-29,Manila,30.2,5.0,84
2026-01-29,Cebu,30.1,0,72
2026-01-30,Manila,29.8,0,63
2026-01-30,Cebu,29.0,0,76
2026-01-31,Manila,27.9,8.4,74
2026-01-31,Cebu,28.2,0,92
2026-02-01,Manila,29.1,0,65
2026-02-01,Cebu,29.1,0,84
2026-02-02,Manila,29.6,12.4,59
2026-02-02,Cebu,27.9,0,72
2026-02-03,Manila,28.5,0,91
2026-02-03,Cebu,26.9,0,92
2026-02-04,Manila,27.7,9.9,80
2026-02-04,Cebu,26.1,0,89
2026-02-05,Manila,28.7,0,83
2026-02-05,Cebu,27.0,0,69
2026-02-06,Manila,26.5,12.5,85
2026-02-06,Cebu,27.9,0,72
2026-02-07,Manila,26.4,0,89
2026-02-07,Cebu,27.5,0,79
2026-02-08,Manila,27.8,6.6,88
2026-02-08,Cebu,27.1,0,60
2026-02-09,Manila,26.8,0,73
2026-02-09,Cebu,25.0,0,58
2026-02-10,Manila,26.6,3.6,92
2026-02-10,Cebu,26.0,0,77
2026-02-11,Manila,25.7,0,77
2026-02-11,Cebu,27.4,0,93
2026-02-12,Manila,26.7,11.5,63
2026-02-12,Cebu,25.2,0,81
2026-02-13,Manila,27.1,0,73
2026-02-13,Cebu,27.1,0,90
2026-02-14,Manila,26.6,14.1,61
2026-02-14,Cebu,25.0,0,81
2026-02-15,Manila,25.2,0,89
2026-02-15,Cebu,24.7,0,83
2026-02-16,Manila,26.9,12.4,60
