Date,Source,Visitors,Page Views,Bounce Rate
2026-01-01,Organic,658,1316,49.5
2026-01-01,Direct,704,2112,60.5
2026-01-02,Social,201,603,62.4
2026-01-02,Organic,824,1648,22.3
2026-01-03,Direct,467,934,53.5
2026-01-03,Social,760,3040,47.8
2026-01-04,Organic,617,1851,64.2
2026-01-04,Direct,515,1545,31.0
2026-01-05,Social,502,1506,49.8
2026-01-05,Organic,457,914,34.7
2026-01-06,Direct,750,2250,62.1
2026-01-06,Social,611,1222,25.6
2026-01-07,Organic,890,3560,58.3
2026-01-07,Direct,819,1638,55.6
2026-01-08,Social,349,1396,31.0
2026-01-08,Organic,612,1224,47.0
2026-01-09,Direct,478,1434,40.6
2026-01-09,Social,304,912,43.1
2026-01-10,Organic,213,426,28.3
2026-01-10,Direct,584,1752,41.2
2026-01-11,Social,441,882,22.5
2026-01-11,Organic,361,1083,26.0
2026-01-12,Direct,389,778,53.5
2026-01-12,Social,759,3036,69.8
2026-01-13,Organic,572,2288,55.2
2026-01-13,Direct,234,936,47.7
2026-01-14,Social,178,356,51.7
2026-01-14,Organic,564,2256,20.5
2026-01-15,Direct,168,504,30.5
2026-01-15,Social,310,930,21.2
2026-01-16,Organic,848,1696,39.1
2026-01-16,Direct,806,1612,39.9
2026-01-17,Social,160,320,63.9
2026-01-17,Organic,723,1446,32.7
2026-01-18,Direct,205,820,66.0
2026-01-18,Social,331,993,53.2
2026-01-19,Organic,729,2916,52.7
2026-01-19,Direct,771,2313,24.7
2026-01-20,Social,924,1848,42.8
2026-01-20,Organic,927,1854,58.9
2026-01-21,Direct,749,2247,67.5
2026-01-21,Social,910,1820,62.0
2026-01-22,Organic,695,1390,26.9
2026-01-22,Direct,573,1719,65.2
2026-01-23,Social,573,2292,57.4
2026-01-23,Organic,623,1246,69.0
2026-01-24,Direct,412,1236,36.4
2026-01-24,Social,200,600,31.2
2026-01-25,Organic,833,1666,48.2
2026-01-25,Direct,259,1036,21.3
2026-01-26,Social,941,2823,62.5
2026-01-26,Organic,814,2442,20.6
2026-01-27,Direct,903,3612,68.3
2026-01-27,Social,241,723,64.1
2026-01-28,Organic,517,1551,37.0
2026-01-28,Direct,401,1604,43.8
2026-01-29,Social,699,2097,41.3
2026-01-29,Organic,863,1726,29.6
2026-01-30,Direct,527,1054,35.1
2026-01-30,Social,171,684,34.2
2026-01-31,Organic,804,3216,22.7
2026-01-31,Direct,550,1650,65.4
2026-02-01,Social,374,1496,30.6
2026-02-01,Organic,400,1200,55.3
2026-02-02,Direct,721,1442,52.4
2026-02-02,Social,644,2576,35.2
2026-02-03,Organic,192,384,31.4
2026-02-03,Direct,834,2502,65.8
2026-02-04,Social,332,996,40.6
2026-02-04,Organic,582,2328,61.2
2026-02-05,Direct,378,1134,47.5
2026-02-05,Social,489,1956,20.7
